Fri May 26 12:00:51 2023 
Setup time: 0.00 seconds
--------------------- 
Step 	 Time 	 Stopwatch 	 Average Temperature 	 Nusselt Number 	 Vrms 	 Surface Heat Flux 	 Bottom Heat Flux 	 Other Walls Heat Flux 
152 	 0.00 	 0.78 	  0.49967 	 3.55793 	 73062.51322 	 10.67380 	 10.64852 	 40.98511 	 
153 	 0.00 	 0.75 	  0.49967 	 3.59312 	 73148.77329 	 10.77936 	 10.75339 	 40.99180 	 
154 	 0.00 	 0.76 	  0.49967 	 3.62868 	 73232.36627 	 10.88605 	 10.85938 	 40.99762 	 
155 	 0.00 	 0.79 	  0.49967 	 3.66462 	 73313.29564 	 10.99387 	 10.96650 	 41.00260 	 
156 	 0.00 	 0.77 	  0.49967 	 3.70095 	 73391.56588 	 11.10285 	 11.07476 	 41.00674 	 
157 	 0.00 	 0.78 	  0.49967 	 3.73766 	 73467.18225 	 11.21298 	 11.18417 	 41.01007 	 
158 	 0.00 	 0.78 	  0.49967 	 3.77476 	 73540.15004 	 11.32429 	 11.29474 	 41.01261 	 
159 	 0.00 	 0.79 	  0.49967 	 3.81226 	 73610.47457 	 11.43678 	 11.40649 	 41.01440 	 
160 	 0.00 	 0.74 	  0.49967 	 3.85015 	 73678.16121 	 11.55046 	 11.51942 	 41.01545 	 
161 	 0.00 	 0.87 	  0.49967 	 3.88845 	 73743.21535 	 11.66535 	 11.63355 	 41.01579 	 
162 	 0.00 	 0.78 	  0.49967 	 3.92715 	 73805.64241 	 11.78146 	 11.74889 	 41.01545 	 
163 	 0.00 	 0.73 	  0.49967 	 3.96627 	 73865.44785 	 11.89880 	 11.86545 	 41.01447 	 
164 	 0.00 	 0.76 	  0.49967 	 4.00580 	 73922.63713 	 12.01739 	 11.98324 	 41.01288 	 
165 	 0.00 	 0.79 	  0.49967 	 4.04574 	 73977.21577 	 12.13723 	 12.10228 	 41.01072 	 
166 	 0.00 	 0.75 	  0.49967 	 4.08611 	 74029.18927 	 12.25834 	 12.22258 	 41.00801 	 
167 	 0.00 	 0.80 	  0.49967 	 4.12691 	 74078.56320 	 12.38073 	 12.34415 	 41.00481 	 
168 	 0.00 	 0.77 	  0.49967 	 4.16814 	 74125.34311 	 12.50442 	 12.46701 	 41.00116 	 
169 	 0.00 	 0.79 	  0.49967 	 4.20980 	 74169.53457 	 12.62941 	 12.59116 	 40.99708 	 
170 	 0.00 	 0.76 	  0.49967 	 4.25191 	 74211.14320 	 12.75572 	 12.71663 	 40.99264 	 
171 	 0.00 	 0.82 	  0.49967 	 4.29446 	 74250.17459 	 12.88337 	 12.84341 	 40.98788 	 
172 	 0.00 	 0.72 	  0.49967 	 4.33745 	 74286.63436 	 13.01236 	 12.97153 	 40.98285 	 
173 	 0.00 	 0.67 	  0.49967 	 4.38090 	 74320.52769 	 13.14271 	 13.10100 	 40.97759 	 
174 	 0.00 	 0.72 	  0.49967 	 4.42481 	 74351.85986 	 13.27443 	 13.23182 	 40.97215 	 
175 	 0.00 	 0.70 	  0.49967 	 4.46918 	 74380.63672 	 13.40753 	 13.36402 	 40.96660 	 
176 	 0.00 	 0.71 	  0.49967 	 4.51401 	 74406.86416 	 13.54203 	 13.49761 	 40.96099 	 
177 	 0.00 	 0.70 	  0.49967 	 4.55931 	 74430.54805 	 13.67794 	 13.63260 	 40.95537 	 
178 	 0.00 	 0.74 	  0.49967 	 4.60509 	 74451.69428 	 13.81527 	 13.76900 	 40.94980 	 
179 	 0.00 	 0.71 	  0.49967 	 4.65135 	 74470.30873 	 13.95405 	 13.90683 	 40.94434 	 
180 	 0.00 	 0.73 	  0.49967 	 4.69809 	 74486.39728 	 14.09428 	 14.04611 	 40.93905 	 
181 	 0.00 	 0.85 	  0.49967 	 4.74533 	 74499.96581 	 14.23598 	 14.18684 	 40.93400 	 
182 	 0.00 	 0.69 	  0.49967 	 4.79305 	 74511.02020 	 14.37916 	 14.32904 	 40.92925 	 
183 	 0.00 	 0.71 	  0.49967 	 4.84128 	 74519.56633 	 14.52384 	 14.47273 	 40.92486 	 
184 	 0.00 	 0.71 	  0.49967 	 4.89001 	 74525.61006 	 14.67003 	 14.61792 	 40.92090 	 
185 	 0.00 	 0.68 	  0.49967 	 4.93925 	 74529.15726 	 14.81774 	 14.76463 	 40.91744 	 
186 	 0.00 	 0.71 	  0.49967 	 4.98900 	 74530.21378 	 14.96700 	 14.91287 	 40.91455 	 
187 	 0.00 	 0.70 	  0.49967 	 5.03927 	 74528.78548 	 15.11782 	 15.06266 	 40.91230 	 
188 	 0.00 	 0.69 	  0.49967 	 5.09007 	 74524.87817 	 15.27021 	 15.21401 	 40.91075 	 
189 	 0.00 	 0.72 	  0.49967 	 5.14140 	 74518.49771 	 15.42419 	 15.36693 	 40.90999 	 
190 	 0.00 	 0.78 	  0.49967 	 5.19325 	 74509.65011 	 15.57976 	 15.52144 	 40.91006 	 
191 	 0.00 	 0.87 	  0.49967 	 5.24565 	 74498.34099 	 15.73695 	 15.67755 	 40.91104 	 
192 	 0.00 	 0.76 	  0.49967 	 5.29859 	 74484.57621 	 15.89578 	 15.83528 	 40.91303 	 
193 	 0.00 	 0.77 	  0.49967 	 5.35208 	 74468.36241 	 16.05625 	 15.99465 	 40.91609 	 
194 	 0.00 	 0.76 	  0.49967 	 5.40613 	 74449.70559 	 16.21838 	 16.15567 	 40.92029 	 
195 	 0.00 	 0.77 	  0.49967 	 5.46073 	 74428.61169 	 16.38220 	 16.31837 	 40.92572 	 
196 	 0.00 	 0.77 	  0.49967 	 5.51590 	 74405.08665 	 16.54771 	 16.48275 	 40.93245 	 
197 	 0.00 	 0.73 	  0.49967 	 5.57165 	 74379.13639 	 16.71494 	 16.64883 	 40.94056 	 
198 	 0.00 	 0.74 	  0.49967 	 5.62796 	 74350.76681 	 16.88389 	 16.81663 	 40.95011 	 
199 	 0.00 	 0.72 	  0.49967 	 5.68487 	 74319.98377 	 17.05460 	 16.98617 	 40.96119 	 
200 	 0.00 	 0.72 	  0.49967 	 5.74236 	 74286.79315 	 17.22707 	 17.15747 	 40.97387 	 
201 	 0.00 	 0.86 	  0.49967 	 5.80044 	 74251.20076 	 17.40132 	 17.33053 	 40.98823 	 
202 	 0.00 	 0.74 	  0.49967 	 5.85913 	 74213.21241 	 17.57738 	 17.50539 	 41.00435 	 
203 	 0.00 	 0.68 	  0.49967 	 5.91842 	 74172.83389 	 17.75525 	 17.68205 	 41.02229 	 
204 	 0.00 	 0.71 	  0.49967 	 5.97832 	 74130.07095 	 17.93496 	 17.86053 	 41.04213 	 
205 	 0.00 	 0.70 	  0.49967 	 6.03884 	 74084.92977 	 18.11651 	 18.04086 	 41.06395 	 
206 	 0.00 	 0.71 	  0.49967 	 6.09998 	 74037.41713 	 18.29993 	 18.22303 	 41.08782 	 
207 	 0.00 	 0.73 	  0.49967 	 6.16175 	 73987.53893 	 18.48524 	 18.40709 	 41.11382 	 
208 	 0.00 	 0.71 	  0.49967 	 6.22415 	 73935.30102 	 18.67245 	 18.59304 	 41.14202 	 
209 	 0.00 	 0.71 	  0.49967 	 6.28719 	 73880.70926 	 18.86158 	 18.78090 	 41.17248 	 
210 	 0.00 	 0.73 	  0.49967 	 6.35088 	 73823.76944 	 19.05265 	 18.97069 	 41.20529 	 
211 	 0.00 	 0.83 	  0.49967 	 6.41523 	 73764.48736 	 19.24568 	 19.16243 	 41.24050 	 
212 	 0.00 	 0.70 	  0.49967 	 6.48023 	 73702.86874 	 19.44069 	 19.35614 	 41.27819 	 
213 	 0.00 	 0.73 	  0.49967 	 6.54590 	 73638.91933 	 19.63770 	 19.55183 	 41.31843 	 
214 	 0.00 	 0.69 	  0.49967 	 6.61224 	 73572.64479 	 19.83672 	 19.74954 	 41.36128 	 
